Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Lappersdorf,20,92.21000000000001,1484.0,564.56,534.56
Neutraubling,18,67.08,971.0,397.97,377.97
Sinzing,17,98.77,1822.0,642.0,632.0
Laaber,13,51.04,1003.0,354.13,334.13
Köfering,12,74.97,872.0,402.15000000000003,397.15000000000003
Donaustauf,11,33.71,450.0,238.13,208.13
Nittendorf,8,85.06,575.0,307.08000000000004,297.08000000000004
Regenstauf,8,30.6,390.0,170.85,130.85000000000002
Hainsacker,7,22.29,328.0,143.07999999999998,123.08
Wenzenbach,6,39.72,290.0,236.85,236.85
Alteglofsheim,5,16.82,385.0,152.12,142.12
Pentling,0,0.0,0.0,0.0,0.0
Pettendorf,0,0.0,0.0,0.0,0.0
