Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Neutraubling,53,590.6,3629.0,2176.34,2016.63
Donaustauf,44,239.68,2819.0,1378.6299999999999,1270.64
Pentling,43,241.16,3172.0,1396.98,1217.01
Regenstauf,35,157.48999999999998,2901.0,1078.37,934.3100000000001
Nittendorf,28,248.44,3056.0,1312.35,1192.35
Sinzing,27,95.16,1265.0,582.37,497.88
Laaber,26,64.9,914.0,482.78999999999996,330.29
Lappersdorf,24,161.4,1694.0,759.2,701.06
Hainsacker,14,38.82,457.0,237.64000000000001,151.71
Köfering,13,50.56,745.0,317.27,297.27
Wenzenbach,11,42.77,454.0,221.56,192.9
Pettendorf,11,55.12,680.0,306.25,296.25
Schierling,7,23.88,473.0,187.51,141.55
Alteglofsheim,5,32.629999999999995,198.0,131.59,111.59
