Buchungsnummer;Kennzeichen;S_Id;Stationsname;Fahrzeugsteller;Abrechnungsmonat;Buchungsstatus;Buchungsbeginn;Buchungsende;Fahrtbeginn;Fahrtende;Stornierung;Buchungsdauer_std;Fahrtdauer_std;KM;Tarif;Nutzungskategorie;PC_Id;Preiskomponente;Rechnungsnummer;Zahlungsstatus;Zeitkosten;Zeitkosten_nach_Guthaben;KM_Kosten;KM_Kosten_nach_Guthaben;Buchungsgebuehr;Spaetrueckgabegebuehr;Fahrtkosten;Fahrtkosten_nach_Guthaben
R001686;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-10;finished;27.10.2025 08:00;27.10.2025 18:00;27.10.2025 09:33;27.10.2025 14:08;;10;4,58;92;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;;Keine Zahlung;0;0;0;0;0;0;0;0
R001710;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-10;finished;14.10.2025 11:00;14.10.2025 13:30;14.10.2025 11:00;14.10.2025 12:48;;2,5;1,78;43;Basis-Tarif ;Privatkunden;2;CARL;RCA00462;Bezahlt;5,21;5,21;8,17;8,17;2,5;0;15,88;15,88
R001747;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-10;finished;22.10.2025 14:00;22.10.2025 22:30;22.10.2025 13:53;22.10.2025 19:33;;8,5;5,65;36;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00511;Bezahlt;17,13;17,13;6,84;6,84;2,5;0;26,47;16,47
R001777;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-10;finished;25.10.2025 16:15;25.10.2025 23:30;25.10.2025 16:24;25.10.2025 23:29;;7,25;7,07;121;Basis-Tarif ;Privatkunden;2;CARL;RCA00517;Bezahlt;18,08;18,08;22,99;22,99;2,5;0;43,57;43,57
R001832;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-11;finished;04.11.2025 10:00;04.11.2025 20:00;04.11.2025 09:55;04.11.2025 19:20;;10;9,4;79;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00592;Bezahlt;24,21;24,21;15,01;15,01;2,5;0;41,72;31,72
R001836;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-11;cancelled;24.11.2025 07:15;24.11.2025 19:15;;;10.11.2025 06:38;12;;;Basis-Tarif ;Privatkunden;2;CARL;RCA00584;Bezahlt;0;0;0;0;0;0;0;0
R001896;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-11;finished;11.11.2025 17:15;12.11.2025 17:15;11.11.2025 17:05;12.11.2025 16:46;;24;23,68;136;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00592;Bezahlt;40;40;25,84;25,84;2,5;0;68,34;68,34
R001941;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-11;cancelled;24.11.2025 20:00;25.11.2025 01:00;;;21.11.2025 07:07;5;;;Basis-Tarif ;Privatkunden;2;CARL;RCA00584;Bezahlt;0;0;0;0;0;0;0;0
R002025;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-11;cancelled;01.12.2025 07:45;01.12.2025 10:15;;;30.11.2025 21:25;2,5;;;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00567;Bezahlt;2,5;2,5;0;0;2,5;0;5;5
R002041;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-12;finished;03.12.2025 17:15;03.12.2025 23:15;03.12.2025 16:58;03.12.2025 21:38;;6;4,65;24;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00675;Bezahlt;13,25;13,25;4,56;4,56;2,5;0;20,31;10,31
R002114;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-12;finished;18.12.2025 11:00;18.12.2025 13:00;18.12.2025 11:01;18.12.2025 12:29;;2;1,45;20;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;RCA00651;Bezahlt;4,21;4,21;3,8;3,8;2,5;0;10,51;0,51
R001684;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-10;finished;16.10.2025 07:00;17.10.2025 18:00;17.10.2025 10:53;17.10.2025 10:53;;35;0;0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;;Keine Zahlung;0;0;0;0;0;0;0;0
R001790;R-MA 45;10;Pettendorf;Pettendorf / C109;2025-11;cancelled;26.11.2025 05:00;26.11.2025 09:00;;;21.11.2025 17:35;4;;;Basis-Tarif ;Privatkunden;2;CARL;RCA00553;Bezahlt;0;0;0;0;0;0;0;0
