Monat;Buchung (brutto);Zeit (brutto);KM (brutto);Spätrückgabe (brutto);Fahrten (netto);Gebühren (netto);verwendetes Guthaben (netto);Monatsgebühr (netto);Summe (netto);Summe (brutto);Anzahl Buchungen;Stunden genutzt;Stunden bezahlt;KM genutzt;KM bezahlt
31.01.2025;230,00;1.353,21;1.158,43;0,00;1.593,18;21,01;710,73;0,00;1.614,20;1.920,88;109;661;604;6254;6097
28.02.2025;412,50;2.267,08;1.967,64;15,00;2.715,57;117,97;1.202,26;0,00;2.833,52;3.371,95;190;871;1028;10661;10356
31.03.2025;337,50;1.806,63;1.566,55;60,00;2.373,79;1.310,90;794,84;0,00;3.684,71;4.384,80;179;1146;844;9448;8245
30.04.2025;295,00;1.683,58;1.441,72;55,00;2.345,39;0,00;575,04;0,00;2.345,40;2.791,08;137;696;760;7963;7588
31.05.2025;265,00;1.939,17;1.401,44;0,00;2.801,21;0,00;228,71;0,00;2.801,20;3.333,43;137;724;950;7448;7376
30.06.2025;260,00;1.804,97;1.412,78;10,00;2.711,61;0,00;219,28;16,81;2.728,44;3.246,87;140;1077;873;7878;7493
31.07.2025;340,00;2.314,63;1.943,36;10,00;3.606,97;0,00;265,29;33,61;3.640,60;4.332,36;186;1077;1164;10522;10367
31.08.2025;240,00;1.922,50;1.426,14;65,00;2.947,39;0,00;122,90;16,81;2.964,21;3.527,39;133;990;913;7769;7608
30.09.2025;285,00;1.888,50;1.619,36;90,00;3.086,70;0,00;176,22;33,61;3.120,30;3.713,25;144;741;956;8694;8624
31.10.2025;307,50;1.527,21;1.407,94;65,00;2.604,50;7,24;175,03;16,81;2.628,56;3.128,02;166;636;696;7948;7501
30.11.2025;337,50;2.218,79;1.840,18;45,00;3.513,95;445,38;218,38;50,42;4.009,75;4.771,65;183;1077;1048;10106;9814
31.12.2025;337,50;1.707,63;1.348,46;90,00;2.734,11;16,81;193,28;0,00;2.750,91;3.273,57;175;1003;788;7208;7160
31.01.2026;262,50;1.404,89;1.094,96;55,00;2.213,04;306,72;154,48;33,61;2.553,36;3.038,56;138;608;686;6046;5852
28.02.2026;207,50;1.190,42;1.028,87;60,00;1.954,78;0,00;134,96;33,61;1.988,38;2.366,20;115;1004;578;5652;5609
31.03.2026;245,00;1.504,42;1.216,69;35,00;2.396,52;4,20;125,42;50,42;2.451,14;2.916,86;136;2586;721;6729;6529
