Stationsname,Summe_Fahrtkosten_2026,Summe_Fahrtkosten_R2,Summe_Fahrtkosten_abzgl_Guthaben_2026,Anzahl_Fahrten_2026,Anzahl_Fahrten_Trend_monat,Anzahl_Fahrten_R2,Summe_Stunden_2026,Summe_Stunden_Trend_monat,Summe_Stunden_R2,Summe_KM_2026,Summe_KM_Trend_monat,Summe_KM_R2
Alteglofsheim,738.76,0.012,611.11,22.39,-0.093,0.051,60.33,-0.843,0.097,2345.25,4.614,0.043
Donaustauf,3973.36,0.0,3543.48,204.57,0.313,0.096,719.95,0.315,0.003,6924.36,-9.694,0.021
Hainsacker,2893.07,0.237,2647.02,124.94,0.426,0.317,386.18,1.173,0.131,7241.09,26.61,0.179
Köfering,3093.2,0.1,3081.61,68.11,0.09,0.022,737.28,2.287,0.136,6909.75,14.841,0.062
Laaber,4702.48,0.03,4374.5,160.61,-0.093,0.005,480.25,0.071,0.0,5175.41,-14.485,0.033
Lappersdorf,7077.74,0.518,6783.71,293.82,1.029,0.601,1426.09,4.847,0.472,14285.71,45.382,0.346
Neutraubling,4123.82,0.203,3937.99,206.72,-0.003,0.0,823.26,-5.597,0.231,8934.19,-19.607,0.069
Nittendorf,585.61,0.545,563.85,14.0,-1.154,0.572,164.13,-8.468,0.366,1577.59,-100.675,0.449
Pentling,571.93,0.109,512.31,92.16,-0.451,0.081,321.98,-3.494,0.103,5655.34,-30.674,0.07
Pettendorf,31.36,0.132,31.36,3.6,-0.294,0.123,20.32,-2.245,0.096,228.5,-20.245,0.133
Regenstauf,3016.85,0.034,2616.91,108.1,-0.025,0.001,441.8,-0.948,0.029,8559.12,-20.603,0.027
Schierling,322.37,0.051,248.34,8.74,-0.11,0.079,90.25,-0.131,0.002,459.42,-14.22,0.104
Sinzing,4959.53,0.204,4575.61,177.04,0.401,0.112,814.4,2.736,0.185,11931.59,41.543,0.203
Wenzenbach,2368.61,0.017,2368.61,39.68,-0.154,0.045,591.22,1.024,0.026,3761.78,5.321,0.014
