Buchungsnummer;Kennzeichen;S_Id;Stationsname;Fahrzeugsteller;Abrechnungsmonat;Buchungsstatus;Buchungsbeginn;Buchungsende;Fahrtbeginn;Fahrtende;Stornierung;Buchungsdauer_std;Fahrtdauer_std;KM;Tarif;Nutzungskategorie;PC_Id;Preiskomponente;Zahlungsstatus;Zeitkosten;Zeitkosten_nach_Guthaben;KM_Kosten;KM_Kosten_nach_Guthaben;Buchungsgebuehr;Spaetrueckgabegebuehr;Fahrtkosten;Fahrtkosten_nach_Guthaben
R000030;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-01;cancelled;27.01.2025 08:00;30.01.2025 15:00;;;27.01.2025 18:40;79;;;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000090;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-01;finished;30.01.2025 16:30;30.01.2025 23:30;30.01.2025 16:19;30.01.2025 21:23;;7;5,07;118.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;14,79;14,79;22,42;22,42;2,5;0;39,71;9,71
R000174;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-01;finished;31.01.2025 15:45;31.01.2025 21:00;31.01.2025 15:35;31.01.2025 20:34;;5,25;4,98;59.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;12,88;12,88;11,21;11,21;2,5;0;26,59;26,59
R000247;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;14.02.2025 11:00;14.02.2025 17:00;14.02.2025 10:54;14.02.2025 16:52;;6;5,97;49.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;15,08;15,08;9,31;9,31;2,5;0;26,89;26,89
R000253;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;13.02.2025 08:45;14.02.2025 08:45;13.02.2025 08:34;14.02.2025 08:27;;24;23,87;74.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;50;50;14,06;14,06;2,5;0;66,56;56,56
R000260;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;12.02.2025 10:30;12.02.2025 12:30;12.02.2025 10:18;12.02.2025 11:42;;2;1,4;6.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;4,29;4,29;1,14;1,14;2,5;0;7,93;0
R000273;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;17.02.2025 15:00;17.02.2025 17:45;17.02.2025 15:01;17.02.2025 17:30;;2,75;2,48;31.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;6,5;6,5;5,89;5,89;2,5;0;14,89;0
R000285;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;cancelled;18.02.2025 10:00;18.02.2025 15:00;;;17.02.2025 12:51;5;;;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;0;0;0;0;0;0;0;0
R000286;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;27.02.2025 08:00;27.02.2025 13:30;27.02.2025 07:51;27.02.2025 10:57;;5,5;3,1;22.0;Basis-Tarif ;Privatkunden;2;CARL;Keine Zahlung;10,33;10,33;4,18;4,18;2,5;0;17,01;0
R000307;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;20.02.2025 17:00;20.02.2025 23:00;20.02.2025 16:46;20.02.2025 22:30;;6;5,72;38.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;14,79;14,79;7,22;7,22;2,5;0;24,51;24,51
R000313;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;06.03.2025 08:30;06.03.2025 13:15;06.03.2025 08:37;06.03.2025 13:10;;4,75;4,53;25.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;11,75;11,75;4,75;4,75;2,5;0;19;8,94
R000315;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;21.02.2025 09:30;21.02.2025 11:30;21.02.2025 09:54;21.02.2025 10:58;;2;1,07;44.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000335;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;21.02.2025 19:15;21.02.2025 23:30;21.02.2025 19:17;21.02.2025 22:35;;4,25;3,3;20.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;9,29;9,29;3,8;3,8;2,5;0;15,59;15,59
R000374;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;25.02.2025 10:45;25.02.2025 12:00;25.02.2025 11:31;25.02.2025 11:49;;1,25;0,28;0.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000400;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;27.02.2025 05:15;27.02.2025 06:15;27.02.2025 05:45;27.02.2025 07:02;;1;1,28;32.0;ÖPNV-Abo-Tarif ;Privatkunden;2;CARL;Bezahlt;4,5;4,5;6,08;6,08;2,5;15;28,08;0
R000402;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-02;finished;27.02.2025 11:30;27.02.2025 18:00;27.02.2025 11:42;27.02.2025 11:55;;6,5;0,22;0.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000403;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;24.03.2025 07:00;25.03.2025 18:00;24.03.2025 09:56;25.03.2025 10:08;;35;24,2;18.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000461;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;06.03.2025 15:15;06.03.2025 15:30;06.03.2025 15:16;06.03.2025 15:20;;0,25;0,05;0.0;Betreiber-Tarif GFN-Servicefahrten;Fahrzeugsteller;1;FREE;Keine Zahlung;0;0;0;0;0;0;0;0
R000467;R-CA 138E;8;Alteglofsheim;Alteglofsheim / C101;2025-03;finished;13.03.2025 08:00;13.03.2025 12:15;13.03.2025 07:50;13.03.2025 10:52;;4,25;3,03;37.0;Basis-Tarif ;Privatkunden;2;CARL;Bezahlt;8,96;8,96;7,03;7,03;2,5;0;18,49;18,49
