Stationsname,Anzahl_Fahrten,Summe_Stunden,Summe_KM,Summe_Fahrtkosten,Summe_Fahrtkosten_abzgl_Guthaben
Neutraubling,64,328.23,3405.0,1591.9,1505.52
Sinzing,51,221.39,2468.0,1213.53,1180.81
Pentling,50,373.82,3757.0,1706.31,1561.31
Lappersdorf,39,157.91,1964.0,934.11,869.11
Regenstauf,36,225.81,4113.0,1369.84,1262.09
Donaustauf,32,139.52,1604.0,801.49,692.01
Laaber,29,116.07,808.0,483.58,466.06
Nittendorf,21,348.67,3152.0,1259.52,1229.52
Pettendorf,17,168.88,1337.0,671.8,671.8
Hainsacker,16,90.62,1003.0,468.42,438.42
Wenzenbach,15,131.79,583.0,531.0,521.93
Köfering,10,115.10000000000001,1103.0,533.12,533.12
Alteglofsheim,9,31.05,487.0,205.58,176.86
Schierling,9,62.79,815.0,374.51,364.51
